DSL,API,Attempts
"class[public] should beExtendedBy class(packagename ""packageIdentifier"");","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [static] should access class[(packagename ""packageIdentifier"")];","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""packageIdentifier"")",4
Trains Failed,Trains Failed,Trains Failed
"class [public (packagename ""packageIdentifier"")] should dependOn class[match ""myclass""];","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().dependOnClassesThat().haveNameMatching(""myclass"")",4
"class [implement ""typeName""] should beExtendedBy class [haveNameMatching ""className""];","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().haveNameMatching(""className"")",0
Trains Failed,Trains Failed,Trains Failed
"class [public (implement ""typeName"")] should not access class [(annotate ""annotationTypeName"")];","classes().that().arePublic().and().implement(""typeName"").should().notBeAccesseClassesThat().areAnnotatedWith(""annotationTypeName"")",4
"class [implement ""typeName""] should access class [(packagename ""packageIdentifier1"")];","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""packageIdentifier1"")",1
"class [inner (packagename ""packageIdentifier"")] should not implement class[match ""className""];","classes().that().areInnerClasses().and().resideInAPackage(""packageIdentifier"").should().notImplementClassesThat().haveNameMatching(""className"")",2
"class [public] should dependOn class[(packagename ""packageIdentifier"")];","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""packageIdentifier"")",0
class [public] should not beExtendedBy class[private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),1
Trains Failed,Trains Failed,Trains Failed
class [final] should not implement class[final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
class [interface] should not implement class [static];,classes().that().areInterfaces().should().notImplementClassesThat().areStatic(),0
Trains Failed,Trains Failed,Trains Failed
"class [protected (packagename ""packageIdentifier1"")] should implement class [private];","classes().that().areProtected().and().resideInAPackage(""packageIdentifier1"").should().ImplementClassesThat().arePrivate()",0
Trains Failed,Trains Failed,Trains Failed
class [protected] should not implement class[private];,classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
method[private] should not access;,methods().that().arePrivate().should().notBeAccesse(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""typeName"");","classes().that().arePublic().should().notBeAssignableTo(""typeName"")",0
"class [public] not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",2
"class [public] should not haveFullNameMatching(""regex"");","classes().that().arePublic().should().haveFullNameNotMatching(""regex"")",0
"class [public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameMatching(""regex"");","classes().that().arePublic().should().haveNameMatching(""regex"")",0
"class [public] should not haveNameEndingWith(""regex"");","classes().that().arePublic().should().haveNameNotEndingWith(""regex"")",0
"class [private] should haveNameStartingWith(""regex"");","classes().that().arePrivate().should().haveNameStartingWith(""regex"")",0
"class [protected] should declareThrowableOfType (""typeName"");","classes().that().areProtected().should().declareThrowableOfType(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [ anonymous ] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class[anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
"method[public] should not declaredIn class (packagename ""packageIdentifier1"")","methods().that().arePublic().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[private] should declaredIn class (implement ""typeName1"");","methods().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName1"")",1
"method[protected] should declaredIn class (packagename ""packageIdentifier1"")","methods().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[final] should not declaredIn class (packagename ""packageIdentifier1"")","methods().that().haveModifier(JavaModifier.FINAL).should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [private packagePrivate] should declaredIn class (packagename ""packageIdentifier1"");","methods().that().arePrivate().and().arePackagePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[public (haveNameMatching ""get"")] should declaredIn class(packagename ""packageIdentifier1"");","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",1
"method[private final] should not declaredIn class (packagename ""packageIdentifier1"")","methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",1
"method[public static(packagename ""packageIdentifier2"")] should not declaredIn class(packagename ""packageIdentifier1"");","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"").should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[public static (haveNameMatching ""X1"")] should declaredIn class (packagename ""packageIdentifier1"")","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[protected final (haveNameMatching ""X1"")] should declaredIn class (packagename ""packageIdentifier1"")","methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
method[public] should declaredIn class[public];,methods().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
method[private] should declaredIn class[private];,methods().that().arePrivate().should().beDeclaredInClassesThat().arePrivate(),0
method[protected] should declaredIn class[protected];,methods().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
method[final] should not declaredIn class[final];,methods().that().haveModifier(JavaModifier.FINAL).should().notBeDeclaredInClassesThat().areFinal(),2
method[packagePrivate] should declaredIn class[packagePrivate];,methods().that().arePackagePrivate().should().beDeclaredInClassesThat().arePackagePrivate(),0
"method[public(haveNameMatching ""get"")] should declaredIn class[final];","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areFinal()",0
method[final private] should declaredIn class [packagePrivate];,methods().that().haveModifier(JavaModifier.FINAL).and().arePrivate().should().beDeclaredInClassesThat().arePackagePrivate(),0
"method [public static (packagename ""packageIdentifier"")] should not declaredIn class [public static];","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().notBeDeclaredInClassesThat().arePublic().andShould().notBeDeclaredInClassesThat().areStatic()",0
"method[public static (haveNameMatching ""regex"")] should declaredIn class[public (packagename ""packageIdentifier1"")];","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
method[protected final (haveNameMatching â€œX1â€?] should declaredIn class[static(packagename â€œpackageIdentifier1â€?],"methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[public] should beAnnotatedWith(""specified annotation"");","methods().that().arePublic().should().beAnnotatedWith(""specified annotation"")",0
Trains Failed,Trains Failed,Trains Failed
"method[protected parameter] should haveParameterTypes ""typeName"";","methods().that().areProtected().and().haveRawParameterTypes(classes().that().areExtensive().getClass()).should().haveRawParameterTypes(""typeName"")",3
"method[final] should haveFullNameMatching ""String"";","methods().that().haveModifier(JavaModifier.FINAL).should().haveFullNameMatching(""String"")",0
Trains Failed,Trains Failed,Trains Failed
"method[public (haveNameMatching ""get"")] should haveNameMatching ""String"";","methods().that().arePublic().and().haveNameMatching(""get"").should().haveNameMatching(""String"")",2
"method[private final] haveRawReturnType ""returnType"";","methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().haveRawReturnType(""returnType"")",0
