DSL,API,Attempts
"class [public] should beExtendedBy class [(packagename ""packageIdentifier"")]","classes().that().arePublic().should().onlyBeExtendedByClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [static] should access class [(packagename ""packageIdentifier"")]","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [public interface] should implement class (haveNameMatching ""myclass"")","classes().that().arePublic().and().areInterfaces().should().dependOnClassesThat().haveNameMatching("".*myclass.*"")",0
"class [public (packagename ""packageIdentifier"")] should dependOn class (haveNameMatching ""myclass"");","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().dependOnClassesThat().haveNameMatching("".*myclass.*"")",1
"class [implement ""packageIdentifier.TypeName""] should beExtendedBy class [(match ""myclass"")]","classes().that().implement(""packageIdentifier.TypeName"").should().onlyBeExtendedByClassesThat().haveNameMatching("".*myclass.*"")",0
"class [implement ""packageIdentifier.TypeName""] should only dependOn class (haveNameMatching ""myclass"")","classes().that().implement(""packageIdentifier.typeName"").should().onlyDependOnClassesThat().haveNameMatching("".*myclass.*"")",0
Trains Failed,"classes().that().arePublic().and().implement(\""typeName\"").should().accessClassesThat().areAnnotatedWith(\""annotationTypeName\"")",Trains Failed
"class [implement ""packageIdentifier.typeName""] should access class [(packagename ""packageIdentifier"")]","classes().that().implement(""packageIdentifier.typeName"").should().accessClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [inner (packagename ""packageIdentifier"")] should access class (haveNameMatching ""myclass"")","classes().that().areInnerClasses().and().resideInAPackage(""packageIdentifier"").should().accessClassesThat().haveNameMatching("".*myclass.*"")",0
"class [public] should dependOn class [(packagename ""packageIdentifier"")]","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""packageIdentifier"")",0
class [public] should not beExtendedBy class [public],classes().that().arePublic().should().notBeExtendedByClassesThat().arePublic(),0
"class [protected (match""my"")] should not beAccessed class [public];","noClasses().that().areProtected().and().haveNameMatching("".*my.*"").should().onlyBeAccessed().byClassesThat().arePublic()",0
class [packagePrivatel] should not beExtendedBy class [public],classes().that().arePackagePrivate().should().notBeExtendedByClassesThat().arePublic(),0
class [local] should not dependOn class [local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
class [interface] should only dependOn class [static],classes().that().areInterfaces().should().onlyDependOnClassesThat().haveModifier(JavaModifier.STATIC),0
class [topLevel] should only access class [protected],classes().that().areTopLevelClasses().should().accessClassesThat().areProtected(),0
"class [protected] should access class [private (packagename ""packageIdentifier"")]","classes().that().areProtected().should().accessClassesThat().arePrivate().andShould().accessClassesThat().resideInAPackage(""packageIdentifier"")",0
"class [public] should access class[static (haveNameMatching ""Myclass"")]","classes().that().arePublic().should().accessClassesThat().arePublic().andShould().accessClassesThat().haveNameMatching("".*Myclass.*"")",0
class [protected] should not access class [public],noClasses().that().areProtected().should().accessClassesThat().arePublic(),0
class [packagePrivate] should only beExtendedBy class [public],noClasses().that().arePackagePrivate().should().onlyBeExtendedByClassesThat().arePublic(),0
"class [public] should haveNameMatching(""myclass"");","classes().that().arePublic().should().haveNameMatching("".*myclass.*"")",0
"class [public] should not beAssignableTo(""packageIdentifier.typeName"");","classes().that().arePublic().should().notBeAssignableTo(\""packageIdentifier.typeName\"")",0
"class [public] should not haveParameterTypes(""packageIdentifier.typeName"")","classes().that().arePublic().should().implement(""packageIdentifier.typeName"")",0
"class [public] should not haveFullNameMatching(""Regex"") ;","classes().that().arePublic().should().haveNameNotMatching("".*Regex.*"")",1
"class [public] should haveNameStartingWith(""regex"");","classes().that().arePublic().should().haveSimpleNameStartingWith(""regex"")",0
"class [public] should haveNameContaining(""regex"");","classes().that().arePublic().should().haveSimpleNameContaining(""regex"")",1
"class [public] should not haveNameEndingWith(""regex"");","classes().that().arePublic().should().haveSimpleNameNotEndingWith(""regex"")",1
"class [private] should haveNameStartingWith(""regex"");","classes().that().arePrivate().should().haveSimpleNameStartingWith("".*regex"")",1
"class [protected] should beAssignableTo(""packageIdentifier.typeName"");","classes().that().areProtected().should().beAssignableTo(""packageIdentifier.typeName"")",0
"class [packagePrivate] should not beAnnotatedWith(""packageIdentifier.annotationTypeName"");","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""packageIdentifier.annotationTypeName"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [nested] should BePublic;,classes().that().areNestedClasses().should().bePublic(),0
class [public] should BeInner;,classes().that().arePublic().should().beInnerClasses(),0
class [public] should BeLocal;,classes().that().arePublic().should().beLocalClasses(),0
class [notPublic] should BeEnums;,classes().that().areNotPublic().should().beEnums(),0
"method [public] should not declaredIn class [(packagename ""packageIdentifier1"")] ;","noMethods().that().arePublic().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [private] should declaredIn class (implement ""mypackage.typeName1"")","methods().that().arePrivate().should().beDeclaredInClassesThat().implement(""mypackage.typeName1"")",0
"method [protected] should declaredIn class [(packagename ""packageIdentifier1"")]","methods().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [final] should not declaredIn class [(packagename ""packageIdentifier1"")]","noMethods().that().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
