1,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Constructor <org.junit.internal.runners.model.MultipleFailureException.<init>(java.util.List)> calls constructor <org.junit.runners.model.MultipleFailureException.<init>(java.util.List)>",MultipleFailureException.java,MEDIUM
2,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Constructor <org.junit.runners.model.Statement.<init>()> calls constructor <java.lang.Object.<init>()>",Statement.java,MEDIUM
3,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestFinished()> gets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
4,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestFinished()> gets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
5,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestStarted()> gets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
6,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestStarted()> gets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
7,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailure(java.lang.Throwable)> gets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
8,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailure(java.lang.Throwable)> gets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
9,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailedAssumption(org.junit.internal.AssumptionViolatedException)> gets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
10,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailedAssumption(org.junit.internal.AssumptionViolatedException)> gets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
11,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestIgnored()> gets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
12,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestIgnored()> gets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
13,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Constructor <org.junit.internal.runners.model.EachTestNotifier.<init>(org.junit.runner.notification.RunNotifier, org.junit.runner.Description)> sets field <org.junit.internal.runners.model.EachTestNotifier.fNotifier>",EachTestNotifier.java,MEDIUM
14,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Constructor <org.junit.internal.runners.model.EachTestNotifier.<init>(org.junit.runner.notification.RunNotifier, org.junit.runner.Description)> sets field <org.junit.internal.runners.model.EachTestNotifier.fDescription>",EachTestNotifier.java,MEDIUM
15,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)> calls method <org.junit.internal.runners.model.EachTestNotifier.addFailure(java.lang.Throwable)>",EachTestNotifier.java,MEDIUM
16,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)> calls method <java.util.List.iterator()>",EachTestNotifier.java,MEDIUM
17,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)> calls method <java.util.Iterator.next()>",EachTestNotifier.java,MEDIUM
18,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)> calls method <java.util.Iterator.hasNext()>",EachTestNotifier.java,MEDIUM
19,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)> calls method <org.junit.runners.model.MultipleFailureException.getFailures()>",EachTestNotifier.java,MEDIUM
20,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestFinished()> calls method <org.junit.runner.notification.RunNotifier.fireTestFinished(org.junit.runner.Description)>",EachTestNotifier.java,MEDIUM
21,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.fireTestStarted()> calls method <org.junit.runner.notification.RunNotifier.fireTestStarted(org.junit.runner.Description)>",EachTestNotifier.java,MEDIUM
22,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailure(java.lang.Throwable)> calls method <org.junit.internal.runners.model.EachTestNotifier.addMultipleFailureException(org.junit.runners.model.MultipleFailureException)>",EachTestNotifier.java,MEDIUM
23,classes that reside in a package '..model..' should access classes that are assignable to EntityManager.class,"Method <org.junit.internal.runners.model.EachTestNotifier.addFailure(java.lang.Throwable)> calls method <org.junit.runner.notification.RunNotifier.fireTestFailure(org.junit.runner.notification.Failure)>",EachTestNotifier.java,MEDIUM
