1,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.ServiceViolatingProxyRules> extends class <java.lang.Object>",ServiceViolatingProxyRules.java,MEDIUM
2,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Constructor <com.tngtech.archunit.example.layers.service.ServiceViolatingProxyRules.<init>()> calls constructor <java.lang.Object.<init>()>",ServiceViolatingProxyRules.java,MEDIUM
3,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Method <com.tngtech.archunit.example.layers.service.ServiceViolatingProxyRules.executeAsync()> is annotated with <com.tngtech.archunit.example.layers.service.Async>",ServiceViolatingProxyRules.java,MEDIUM
4,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.impl.ServiceImplementation> implements interface <com.tngtech.archunit.example.layers.service.ServiceInterface>",ServiceImplementation.java,MEDIUM
5,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.impl.ServiceImplementation> extends class <java.lang.Object>",ServiceImplementation.java,MEDIUM
6,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.impl.ServiceImplementation> is annotated with <com.tngtech.archunit.example.layers.MyService>",ServiceImplementation.java,MEDIUM
7,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Constructor <com.tngtech.archunit.example.layers.service.impl.ServiceImplementation.<init>()> calls constructor <java.lang.Object.<init>()>",ServiceImplementation.java,MEDIUM
8,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.impl.WronglyNamedSvc> is annotated with <com.tngtech.archunit.example.layers.MyService>",WronglyNamedSvc.java,MEDIUM
9,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Constructor <com.tngtech.archunit.example.layers.service.impl.WronglyNamedSvc.<init>()> calls constructor <java.lang.Object.<init>()>",WronglyNamedSvc.java,MEDIUM
10,classes that reside in a package '..service..' should depend on classes that reside in any package ['..persistence..', '..controller..'],"Class <com.tngtech.archunit.example.layers.service.impl.WronglyNamedSvc> extends class <java.lang.Object>",WronglyNamedSvc.java,MEDIUM
