DSL,API,Attempts
Trains Failed,Trains Failed,Trains Failed
"class [static] access class [(packagename ""packageIdentifier"")]","classes().that().haveModifier(JavaModifier.STATIC).should().accessClassesThat().resideInAPackage(""packageIdentifier"")",0
"interface [public] should implement ""myclass""","interfaces().that().arePublic().should().Implement(""myclass"")",0
"class [public (packagename ""packageIdentifier"")] should dependOn class [(implement ""myclass"")]","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().dependOnClassesThat().implement(""myclass"")",0
"class [implement ""typeName""] should beExtendedBy class [implement ""className""];","classes().that().implement(""typeName"").should().onlyBeExtendedByClassesThat().implement(""className"")",1
"class [implement ""typeName""] should not implement class [implement ""className""];","classes().that().implement(""typeName"").should().notImplementClassesThat().implement(""className"")",0
Trains Failed,Trains Failed,Trains Failed
"class [implement ""typeName""] should access class [(packagename ""packageIdentifier1"")]","classes().that().implement(""typeName"").should().accessClassesThat().resideInAPackage(""packageIdentifier1"")",0
"class [inner (packagename ""packageIdentifier"")] should not implement class [implement ""className""];","classes().that().areInnerClasses().and().resideInAPackage(""packageIdentifier"").should().notImplementClassesThat().implement(""className"")",0
"class [public] dependOn class [(packagename ""packageIdentifier"")]","classes().that().arePublic().should().dependOnClassesThat().resideInAPackage(""packageIdentifier"")",4
class [public] should not beExtendedBy class [private],classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private];,classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class [final] should not dependOn class [final],noClasses().that().haveModifier(JavaModifier.FINAL).should().dependOnClassesThat().areFinal(),0
class [local] should not dependOn class[local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
Trains Failed,Trains Failed,Trains Failed
class [topLevel] should not dependOn class [private],noClasses().that().areTopLevelClasses().should().dependOnClassesThat().arePrivate(),0
"class [protected] should implement class [private (packagename ""packageIdentifier1"")]","classes().that().areProtected().should().ImplementClassesThat().arePrivate().andShould().ImplementClassesThat().resideInAPackage(""packageIdentifier1"")",0
class [public] should access class [static],classes().that().arePublic().should().accessClassesThat().areStatic(),0
class [protected] should not implement class [private],classes().that().areProtected().should().notImplementClassesThat().arePrivate(),0
class [packagePrivate] should not access method [private],classes().that().arePackagePrivate().should().notBeAccesseMethodsThat().arePrivate(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""typeName"");","classes().that().arePublic().should().notBeAssignableTo(""typeName"")",0
"class [public] should not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",0
"class [public] should not haveFullNameMatching(""regex"");","classes().that().arePublic().should().haveFullNameNotMatching(""regex"")",1
"class [public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class [public] should haveNameMatching(""regex"");","classes().that().arePublic().should().haveNameMatching(""regex"")",0
"class [public] should not haveNameEndingWith(""regex"");","classes().that().arePublic().should().haveNameNotEndingWith(""regex"")",1
"class [private] should haveNameMatching(""regex"");","classes().that().arePrivate().should().haveNameMatching(""regex"")",1
"class [protected] should declareThrowableOfType(""typeName"");","classes().that().areProtected().should().declareThrowableOfType(""typeName"")",0
"class [packagePrivate] should not beAnnotatedWith(""annotationTypeName"")","classes().that().arePackagePrivate().should().notBeAnnotatedWith(""annotationTypeName"")",0
class [static] should BePublic;,classes().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
class [anonymous] should BePublic;,classes().that().areAnonymousClasses().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public] should BeAbstract;,classes().that().arePublic().should().beAbstract(),0
class [anonymous] should BeEnums;,classes().that().areAnonymousClasses().should().beEnums(),0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should dependOn class(implement ""typeName"")","codeUnits().that().arePrivate().should().dependOnClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public] should haveFullNameMatching(""packageIdentifier"")","codeUnits().that().arePublic().should().haveFullNameMatching(""packageIdentifier"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [(packagename ""packageIdentifier"")] should haveFullNameMatching(""Regex"");","codeUnits().that().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveFullNameMatching(""Regex"")",0
codeUnit [public] should dependOn class [public];,codeUnits().that().arePublic().should().dependOnClassesThat().arePublic(),1
codeUnit [private] should dependOn class [static];,codeUnits().that().arePrivate().should().dependOnClassesThat().areStatic(),1
codeUnit [protected] should dependOn class[protected];,codeUnits().that().areProtected().should().dependOnClassesThat().areProtected(),0
codeUnit [private] should not dependOn class [packagePrivate],codeUnits().that().arePrivate().should().dependOnClassesThat().arePackagePrivate(),1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [static (packagename ""packageIdentifier"")] should haveNameMatching(""Regex"")","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveNameMatching(""Regex"")",1
"codeUnit [private] should beAnnotatedWith(""annotationTypeName"");","codeUnits().that().arePrivate().should().beAnnotatedWith(""annotationTypeName"")",1
"codeUnit [protected] should haveFullNameMatching(""regex"");","codeUnits().that().areProtected().should().haveFullNameMatching(""regex"")",1
Trains Failed,Trains Failed,Trains Failed
"codeUnit [packagePrivate] should haveNameMatching(""regex"")","codeUnits().that().arePackagePrivate().should().haveNameMatching(""regex"")",0
"codeUnit [public] should haveNameEndingWith(""regex"");","codeUnits().that().arePublic().should().haveNameEndingWith(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
