DSL,API,Attempts
"class [public (packagename ""packageIdentifier"")] should beExtendedBy","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().onlyBeExtendedBy()",3
"class [static] should access ""packageIdentifier"";","classes().that().haveModifier(JavaModifier.STATIC).should().access(""packageIdentifier"")",1
"interface [public] should implement ""myclass"";","interfaces().that().arePublic().should().Implement(""myclass"")",2
"class [public (packagename ""packageIdentifier"")] dependOn class[""myclass""]","classes().that().arePublic().and().resideInAPackage(""packageIdentifier"").should().dependOnClasse(""myclass"")",1
"class [implement ""typeName""] should beExtendedBy ""className"";","classes().that().implement(""typeName"").should().onlyBeExtendedBy(""className"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"class [public] dependOn ""packageIdentifier"";","classes().that().arePublic().should().dependOn(""packageIdentifier"")",0
class [public] should not beExtendedBy class [private];,classes().that().arePublic().should().notBeExtendedByClassesThat().arePrivate(),0
class [public] should not access class [private],classes().that().arePublic().should().notBeAccesseClassesThat().arePrivate(),0
class [final] should not implement class [final];,classes().that().haveModifier(JavaModifier.FINAL).should().notImplementClassesThat().areFinal(),0
class [local] should not dependOn class[local];,noClasses().that().areLocalClasses().should().dependOnClassesThat().areLocalClasses(),0
Trains Failed,Trains Failed,Trains Failed
class [topLevel] should not dependOn class [private];,noClasses().that().areTopLevelClasses().should().dependOnClassesThat().arePrivate(),0
"class[protected (packagename ""packageIdentifier1"")] implement class[private];","classes().that().areProtected().and().resideInAPackage(""packageIdentifier1"").should().ImplementClassesThat().arePrivate()",0
"class [public static] access (""className"");","classes().that().arePublic().and().haveModifier(JavaModifier.STATIC).should().access(""className"")",0
class [protected] should not dependOn class[ private ];,noClasses().that().areProtected().should().dependOnClassesThat().arePrivate(),0
class [packagePrivate] not access method[private];,classes().that().arePackagePrivate().should().notBeAccesseMethodsThat().arePrivate(),0
"class [public] should haveNameMatching(""classname"");","classes().that().arePublic().should().haveNameMatching(""classname"")",0
"class [public] should not beAssignableTo(""typeName"");","classes().that().arePublic().should().notBeAssignableTo(""typeName"")",0
"class[public] should not haveParameterTypes(""typeName"");","classes().that().arePublic().should().no such no operator(""typeName"")",2
"class [public] should not haveFullNameMatching(""regex"");","classes().that().arePublic().should().haveFullNameNotMatching(""regex"")",1
"class [public] should haveRawReturnType(""typeName"");","classes().that().arePublic().should().haveRawReturnType(""typeName"")",0
"class[public] should haveNameContaining(""regex"");","classes().that().arePublic().should().haveNameContaining(""regex"")",0
"class [public] should not haveNameMatching(""regex"");","classes().that().arePublic().should().haveNameNotMatching(""regex"")",2
"class [private] should haveNameMatching(""regex"");","classes().that().arePrivate().should().haveNameMatching(""regex"")",0
"class [protected] should declareThrowableOfType(""typeName"");","classes().that().areProtected().should().declareThrowableOfType(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
class [anonymous public] should BePublic;,classes().that().areAnonymousClasses().and().arePublic().should().bePublic(),0
class [public] should BeProtected;,classes().that().arePublic().should().beProtected(),0
class [public abstract] should BeAbstract;,classes().that().arePublic().and().areAbstract().should().beAbstract(),1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit[private] should implement class(implement ""typeName"");","codeUnits().that().arePrivate().should().ImplementClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public (packagename ""packageIdentifier"")] should haveNameMatching(""Regex"");","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveNameMatching(""Regex"")",1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit (packagename ""packageIdentifier"") should haveFullNameMatching(""Regex"");","codeUnits().that().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveFullNameMatching(""Regex"")",3
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public (classname ""private"")] should haveNameMatching(""get"");","codeUnits().that().arePublic().and().areDeclaredInClassesThat().haveNameMatching(""private"").should().haveNameMatching(""get"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public (implement ""typeName"")] should haveNameMatching(""Regex"");","codeUnits().that().arePublic().and().areDeclaredInClassesThat().implement(""typeName"").should().haveNameMatching(""Regex"")",4
"class [static (packagename ""packageIdentifier"")] should haveNameMatching(""Regex"");","classes().that().haveModifier(JavaModifier.STATIC).and().resideInAPackage(""packageIdentifier"").should().haveNameMatching(""Regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [protected] should haveFullNameMatching(""regex"");","codeUnits().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should haveNameMatching(""regex"")","codeUnits().that().arePrivate().should().haveNameMatching(""regex"")",1
"codeUnit [public] should haveNameEndingWith(""regex"");","codeUnits().that().arePublic().should().haveNameEndingWith(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [public] should haveNameStartingWith(""regex"");","codeUnits().that().arePublic().should().haveNameStartingWith(""regex"")",1
"codeUnit [public] should haveRawReturnType(""typeName"");","codeUnits().that().arePublic().should().haveRawReturnType(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit [private] should declareThrowableOfType(""typeName"");","codeUnits().that().arePrivate().should().declareThrowableOfType(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
"codeUnit[final (packagename ""packageIdentifier"")] should BePrivate;","codeUnits().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"codeUnit [private (packagename ""packageIdentifier"")] should BeProtected;","codeUnits().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor [private] should declaredIn class (implement ""typeName"")","constructors().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor[public(packagename ""packageIdentifier"")] should haveNameMatching ""get"";","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().haveNameMatching(""get"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor [haveNameMatching ""regex""] should declaredIn class (implement ""typeName"");","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"constructor [(packagename ""packageIdentifier1"")] should haveNameMatching ""regex"";","constructors().that().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().haveNameMatching(""regex"")",0
constructor [public] should declaredIn class [public];,constructors().that().arePublic().should().beDeclaredInClassesThat().arePublic(),1
constructor [private] should declaredIn class [static];,constructors().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
constructor [protected] should declaredIn class [protected];,constructors().that().areProtected().should().beDeclaredInClassesThat().areProtected(),2
constructor[private] should not declaredIn class[packagePrivate];,constructors().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),1
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
